0,	18225,	2,	18,	4655106235,	4655106235,	4655237799,	4655240792,	4655240792,	4655240872,		4655441004,	4655441004,	4655443936,	4655443965,		
1,	28102,	2,	28,	4655172901,	4655241015,	4655268407,	4655272139,	4655272139,	4655272238,		4655471648,	4655471648,	4655474690,	4655474813,		
2,	28175,	2,	28,	4655239567,	4655272300,	4655299785,	4655302972,	4655302972,	4655303124,		4655503550,	4655503550,	4655505675,	4655505689,		
3,	28196,	2,	28,	4655306233,	4655306363,	4655336101,	4655339625,	4655339625,	4655340130,		4655539694,	4655539694,	4655541661,	4655541666,		
4,	28286,	2,	28,	4655372899,	4655373365,	4655375659,	4655378896,	4655378896,	4655379007,		4655579031,	4655579031,	4655581931,	4655581940,		
5,	28251,	2,	28,	4655439565,	4655440245,	4655442558,	4655445860,	4655445860,	4655446011,		4655646415,	4655646415,	4655652908,	4655652922,		
6,	28272,	2,	28,	4655506231,	4655507117,	4655509726,	4655513355,	4655513355,	4655513475,		4655713701,	4655713701,	4655716665,	4655716671,		
7,	28226,	2,	28,	4655572897,	4655573036,	4655574592,	4655577246,	4655577246,	4655577365,		4655778531,	4655778532,	4655784759,	4655784784,		
8,	28229,	2,	28,	4655639563,	4655640282,	4655643250,	4655650501,	4655650502,	4655651658,		4655847318,	4655847318,	4655849794,	4655849801,		
9,	28179,	2,	28,	4655706229,	4655706415,	4655709877,	4655713655,	4655713655,	4655713797,		4655913043,	4655913043,	4655913099,	4655913107,		
10,	28184,	2,	28,	4655772895,	4655773203,	4655776702,	4655781607,	4655781607,	4655781773,		4655980694,	4655980695,	4655983258,	4655983265,		
11,	28282,	2,	28,	4655839561,	4655840204,	4655842239,	4655846004,	4655846004,	4655846151,		4656045394,	4656045394,	4656048038,	4656048045,		
12,	28187,	2,	28,	4655906227,	4655906482,	4655910721,	4655917288,	4655917288,	4655917407,		4656114830,	4656114830,	4656116780,	4656116798,		
13,	28217,	2,	28,	4655972893,	4655973198,	4655978270,	4655982356,	4655982356,	4655982457,		4656181368,	4656181368,	4656186600,	4656186610,		
14,	28293,	2,	28,	4656039559,	4656039774,	4656041623,	4656044947,	4656044947,	4656045076,		4656245268,	4656245268,	4656249416,	4656249423,		
15,	28280,	2,	28,	4656106225,	4656106974,	4656109393,	4656113594,	4656113594,	4656113770,		4656312507,	4656312508,	4656315836,	4656315851,		
16,	28180,	2,	28,	4656172891,	4656173464,	4656177663,	4656184407,	4656184408,	4656185178,		4656382014,	4656382014,	4656385892,	4656385896,		
17,	28240,	2,	28,	4656239557,	4656239568,	4656244755,	4656249748,	4656249748,	4656249852,		4656448368,	4656448368,	4656452978,	4656452989,		
18,	28225,	2,	28,	4656306223,	4656307197,	4656309440,	4656313580,	4656313580,	4656313735,		4656512615,	4656512615,	4656518038,	4656518050,		
19,	28243,	2,	28,	4656372889,	4656372894,	4656375833,	4656381126,	4656381126,	4656381314,		4656579224,	4656579224,	4656584945,	4656584954,		
20,	28172,	2,	28,	4656439555,	4656440568,	4656443680,	4656448520,	4656448520,	4656448706,		4656646890,	4656646890,	4656649624,	4656649640,		
21,	28279,	2,	28,	4656506221,	4656506824,	4656510320,	4656516139,	4656516139,	4656516279,		4656713431,	4656713432,	4656716850,	4656716857,		
22,	28184,	2,	28,	4656572887,	4656572967,	4656575278,	4656581984,	4656581984,	4656582556,		4656778508,	4656778508,	4656780526,	4656780535,		
23,	28151,	2,	28,	4656639553,	4656640432,	4656642646,	4656645569,	4656645569,	4656645678,		4656845692,	4656845693,	4656849039,	4656849079,		
