0,	9911,	2,	12,	9791277783,	9791277783,	9791435007,	9791441267,	9791441267,	9791441336,		9652181038,	9652181038,	9652181091,	9652181104,		
1,	18921,	2,	19,	9791344449,	9791441354,	9791497010,	9791507743,	9791507744,	9791507859,		9652254728,	9652254729,	9652259684,	9652259718,		
2,	16596,	2,	17,	9791411115,	9791507876,	9791557045,	9791564066,	9791564066,	9791564171,		9652333196,	9652333196,	9652336818,	9652336873,		
3,	15921,	2,	16,	9791477781,	9791564190,	9791616114,	9791624894,	9791624895,	9791624978,		9652410580,	9652410580,	9652414481,	9652414492,		
4,	19889,	2,	20,	9791544447,	9791624996,	9791677216,	9791685290,	9791685290,	9791685379,		9652488108,	9652488108,	9652492097,	9652492110,		
5,	19637,	2,	20,	9791611113,	9791685396,	9791734077,	9791738979,	9791738979,	9791739069,		9652565723,	9652565723,	9652569389,	9652569402,		
6,	17557,	2,	18,	9791677779,	9791739083,	9791794089,	9791799741,	9791799741,	9791799877,		9652642099,	9652642099,	9652646019,	9652646031,		
7,	15764,	2,	16,	9791744445,	9791799942,	9791855071,	9791860275,	9791860275,	9791860365,		9652703542,	9652703542,	9652706873,	9652706884,		
8,	18030,	2,	18,	9791811111,	9791860379,	9791914566,	9791920894,	9791920894,	9791921016,		9652762362,	9652762362,	9652765633,	9652765643,		
9,	18335,	2,	18,	9791877777,	9791921038,	9791974259,	9791978913,	9791978913,	9791979119,		9652822135,	9652822136,	9652825518,	9652825531,		
10,	17751,	2,	18,	9791944443,	9791979344,	9792034828,	9792038978,	9792038978,	9792039064,		9652882834,	9652882834,	9652886244,	9652886257,		
11,	17785,	2,	18,	9792011109,	9792039082,	9792094058,	9792098056,	9792098056,	9792098147,		9652941644,	9652941644,	9652945688,	9652945700,		
12,	17116,	2,	17,	9792077775,	9792098166,	9792154630,	9792160810,	9792160810,	9792160894,		9653002325,	9653002325,	9653005830,	9653005841,		
13,	16631,	2,	17,	9792144441,	9792160910,	9792214229,	9792220045,	9792220045,	9792220169,		9653062461,	9653062461,	9653065678,	9653065688,		
14,	14693,	2,	15,	9792211107,	9792220245,	9792275032,	9792280263,	9792280264,	9792280376,		9653123211,	9653123211,	9653127155,	9653127166,		
15,	24496,	2,	26,	9792277773,	9792280390,	9792334403,	9792341951,	9792341951,	9792342200,		9653182582,	9653182582,	9653185686,	9653185697,		
16,	15854,	2,	16,	9792344439,	9792345392,	9792394157,	9792399277,	9792399277,	9792399359,		9653242073,	9653242073,	9653246963,	9653246974,		
17,	16881,	2,	17,	9792411105,	9792412067,	9792454541,	9792460311,	9792460311,	9792460506,		9653302437,	9653302437,	9653306219,	9653306233,		
18,	16342,	2,	16,	9792477771,	9792478808,	9792514492,	9792520638,	9792520638,	9792520730,		9653362384,	9653362384,	9653365859,	9653365871,		
19,	16181,	2,	16,	9792544437,	9792545135,	9792574437,	9792580612,	9792580612,	9792580782,		9653422359,	9653422359,	9653426770,	9653426782,		
20,	15485,	2,	16,	9792611103,	9792611570,	9792634246,	9792639378,	9792639378,	9792639571,		9653482405,	9653482405,	9653485660,	9653485671,		
21,	15827,	2,	16,	9792677769,	9792677803,	9792694262,	9792698801,	9792698801,	9792698881,		9653542071,	9653542071,	9653545462,	9653545472,		
22,	13475,	2,	14,	9792744435,	9792744454,	9792759988,	9792769142,	9792769142,	9792769223,		9653607650,	9653607650,	9653611129,	9653611144,		
23,	18883,	2,	19,	9792811101,	9792811670,	9792820286,	9792828117,	9792828117,	9792828327,		9653668756,	9653668756,	9653672080,	9653672092,		
24,	18116,	2,	18,	9792877767,	9792878601,	9792881180,	9792887075,	9792887075,	9792887185,		9653728691,	9653728691,	9653732214,	9653732226,		
25,	17812,	2,	18,	9792944433,	9792945140,	9792949475,	9792959286,	9792959286,	9792959366,		9653797556,	9653797557,	9653800834,	9653800845,		
26,	17492,	2,	18,	9793011099,	9793011703,	9793013857,	9793020592,	9793020592,	9793020686,		9653861693,	9653861693,	9653865187,	9653865200,		
27,	16512,	2,	17,	9793077765,	9793078076,	9793080762,	9793089054,	9793089054,	9793089257,		9653928359,	9653928359,	9653931855,	9653931868,		
28,	16129,	2,	16,	9793144431,	9793144452,	9793148538,	9793156545,	9793156545,	9793156813,		9653996231,	9653996231,	9653999478,	9653999491,		
29,	16195,	2,	16,	9793211097,	9793212089,	9793216090,	9793220678,	9793220678,	9793220771,		9654064543,	9654064543,	9654067650,	9654067664,		
30,	25228,	2,	27,	9793277763,	9793278261,	9793283031,	9793289255,	9793289255,	9793289424,		9654130661,	9654130661,	9654133862,	9654133874,		
31,	16595,	2,	17,	9793344429,	9793344472,	9793347969,	9793358063,	9793358063,	9793358160,		9654195949,	9654195949,	9654200195,	9654200206,		
32,	16805,	2,	17,	9793411095,	9793411444,	9793416274,	9793425547,	9793425547,	9793425626,		9654264178,	9654264178,	9654267864,	9654267876,		
33,	17781,	2,	18,	9793477761,	9793478187,	9793481430,	9793489379,	9793489379,	9793489603,		9654329490,	9654329490,	9654333083,	9654333096,		
34,	15779,	2,	16,	9793544427,	9793545161,	9793547804,	9793556082,	9793556083,	9793556172,		9654396156,	9654396156,	9654400362,	9654400376,		
35,	16211,	2,	16,	9793611093,	9793611602,	9793616407,	9793626818,	9793626818,	9793626908,		9654464564,	9654464564,	9654467849,	9654467863,		
36,	14056,	2,	14,	9793677759,	9793678862,	9793682406,	9793689269,	9793689269,	9793689369,		9654530657,	9654530657,	9654533981,	9654533994,		
37,	11936,	2,	12,	9793744425,	9793745081,	9793749866,	9793757685,	9793757685,	9793757772,		9654598110,	9654598110,	9654601337,	9654601351,		
38,	17498,	2,	18,	9793811091,	9793811304,	9793815631,	9793823483,	9793823484,	9793823622,		9654663319,	9654663319,	9654666327,	9654666340,		
39,	17945,	2,	18,	9793877757,	9793877962,	9793880481,	9793885567,	9793885567,	9793885655,		9654728325,	9654728325,	9654732196,	9654732208,		
40,	18382,	2,	18,	9793944423,	9793945278,	9793949248,	9793960730,	9793960730,	9793960820,		9654797562,	9654797562,	9654800892,	9654800904,		
41,	18022,	2,	18,	9794011089,	9794011568,	9794015086,	9794021421,	9794021421,	9794021530,		9654862832,	9654862832,	9654866345,	9654866357,		
42,	16730,	2,	17,	9794077755,	9794077984,	9794082523,	9794093718,	9794093718,	9794093806,		9654930211,	9654930211,	9654933625,	9654933637,		
43,	16303,	2,	16,	9794144421,	9794144578,	9794148096,	9794155142,	9794155142,	9794155238,		9654995552,	9654995552,	9654999124,	9654999136,		
44,	15642,	2,	16,	9794211087,	9794211094,	9794215160,	9794219669,	9794219669,	9794219751,		9655062958,	9655062958,	9655066406,	9655066418,		
45,	24549,	2,	26,	9794277753,	9794278134,	9794282210,	9794294461,	9794294461,	9794294575,		9655130620,	9655130620,	9655133972,	9655133985,		
46,	15730,	2,	16,	9794344419,	9794345454,	9794347568,	9794356732,	9794356732,	9794356850,		9655195999,	9655195999,	9655200262,	9655200274,		
47,	16726,	2,	17,	9794411085,	9794411617,	9794416194,	9794424862,	9794424862,	9794424991,		9655264272,	9655264272,	9655268225,	9655268238,		
48,	16914,	2,	17,	9794477751,	9794478284,	9794482653,	9794493464,	9794493464,	9794493651,		9655330377,	9655330377,	9655333900,	9655333911,		
49,	16747,	2,	17,	9794544417,	9794544699,	9794549059,	9794558285,	9794558286,	9794558431,		9655397000,	9655397001,	9655400478,	9655400489,		
50,	15190,	2,	15,	9794611083,	9794611758,	9794616722,	9794626524,	9794626524,	9794626595,		9655464660,	9655464660,	9655468285,	9655468301,		
51,	14618,	2,	15,	9794677749,	9794678705,	9794682609,	9794690301,	9794690301,	9794690374,		9655530229,	9655530229,	9655533437,	9655533452,		
52,	14327,	2,	14,	9794744415,	9794744690,	9794749635,	9794756442,	9794756442,	9794756551,		9655597430,	9655597430,	9655600627,	9655600643,		
53,	18045,	2,	18,	9794811081,	9794811088,	9794814287,	9794822480,	9794822480,	9794822587,		9655662579,	9655662579,	9655665788,	9655665800,		
54,	18309,	2,	18,	9794877747,	9794877946,	9794881624,	9794887900,	9794887900,	9794888009,		9655729986,	9655729986,	9655733415,	9655733426,		
55,	19090,	2,	19,	9794944413,	9794944871,	9794949329,	9794959464,	9794959465,	9794959547,		9655797349,	9655797349,	9655801666,	9655801691,		
56,	17819,	2,	18,	9795011079,	9795011266,	9795013044,	9795018680,	9795018680,	9795018784,		9655861273,	9655861273,	9655864770,	9655864782,		
57,	17626,	2,	18,	9795077745,	9795078385,	9795080820,	9795089063,	9795089064,	9795089162,		9655928805,	9655928805,	9655932337,	9655932349,		
58,	15104,	2,	15,	9795144411,	9795144650,	9795148916,	9795155382,	9795155382,	9795155458,		9655996448,	9655996449,	9656000101,	9656000124,		
59,	15830,	2,	16,	9795211077,	9795211878,	9795217545,	9795223323,	9795223323,	9795223398,		9656065260,	9656065260,	9656068662,	9656068674,		
60,	24228,	2,	26,	9795277743,	9795278789,	9795283704,	9795292207,	9795292207,	9795292395,		9656131576,	9656131576,	9656135090,	9656135102,		
61,	16630,	2,	17,	9795344409,	9795344911,	9795347626,	9795358131,	9795358131,	9795358282,		9656196031,	9656196031,	9656200415,	9656200426,		
62,	17070,	2,	17,	9795411075,	9795411121,	9795415509,	9795424554,	9795424555,	9795424792,		9656263571,	9656263571,	9656267218,	9656267230,		
63,	18065,	2,	18,	9795477741,	9795478024,	9795479894,	9795486201,	9795486201,	9795486430,		9656327889,	9656327889,	9656332102,	9656332113,		
64,	15559,	2,	16,	9795544407,	9795544835,	9795550473,	9795560393,	9795560393,	9795560480,		9656398211,	9656398211,	9656401656,	9656401668,		
65,	15850,	2,	16,	9795611073,	9795611644,	9795615485,	9795621884,	9795621884,	9795622002,		9656463135,	9656463135,	9656466450,	9656466462,		
66,	14470,	2,	15,	9795677739,	9795678375,	9795679915,	9795684628,	9795684628,	9795684717,		9656528252,	9656528252,	9656531652,	9656531664,		
