0,	0,	2,	0,	0,	18,		997162440,	997255313,	857886871,	92873,	
0,	1,	2,	0,	18,	8,		997162444,	997266906,	857887718,	104462,	
0,	2,	2,	0,	26,	1024,		997162447,	997266911,	857897619,	104464,	
0,	3,	2,	0,	1050,	1024,		997162450,	997266912,	857909927,	104462,	
0,	4,	2,	0,	2074,	1024,		997162453,	997266914,	857919742,	104461,	
0,	5,	2,	0,	3098,	642,		997162456,	997266915,	857926884,	104459,	
1,	0,	2,	0,	0,	1024,		997182687,	997266917,	857936603,	84230,	
1,	1,	2,	0,	1024,	1024,		997182695,	997266919,	857946114,	84224,	
1,	2,	2,	0,	2048,	1024,		997182698,	997266920,	857951447,	84222,	
1,	3,	2,	0,	3072,	1024,		997182702,	997266929,	857956934,	84227,	
1,	4,	2,	0,	4096,	665,		997182705,	997266938,	857960177,	84233,	
2,	0,	2,	0,	0,	1024,		997217367,	997266939,	857965373,	49572,	
2,	1,	2,	0,	1024,	973,		997217381,	997266941,	857970323,	49560,	
3,	0,	2,	0,	0,	1024,		997250078,	997282589,	857984827,	32511,	
3,	1,	2,	0,	1024,	160,		997250095,	997287679,	857989892,	37584,	
4,	0,	2,	0,	0,	1024,		997292687,	997326720,	858025302,	34033,	
4,	1,	2,	0,	1024,	1024,		997292695,	997334415,	858030348,	41720,	
4,	2,	2,	0,	2048,	1024,		997292698,	997334420,	858040324,	41722,	
4,	3,	2,	0,	3072,	1024,		997292701,	997334422,	858045721,	41721,	
4,	4,	2,	0,	4096,	1024,		997292704,	997337517,	858048104,	44813,	
4,	5,	2,	0,	5120,	1024,		997292707,	997337520,	858050342,	44813,	
4,	6,	2,	0,	6144,	1024,		997292711,	997342247,	858055563,	49536,	
4,	7,	2,	0,	7168,	1024,		997292714,	997345283,	858061084,	52569,	
4,	8,	2,	0,	8192,	580,		997292717,	997345962,	858065967,	53245,	
5,	0,	2,	0,	0,	1024,		997362837,	997368793,	858086961,	5956,	
5,	1,	2,	0,	1024,	1024,		997362852,	997370448,	858088780,	7596,	
5,	2,	2,	0,	2048,	1024,		997362856,	997371572,	858091703,	8716,	
5,	3,	2,	0,	3072,	394,		997362861,	997372400,	858092741,	9539,	
6,	0,	2,	0,	0,	1024,		997422391,	997427820,	858145252,	5429,	
6,	1,	2,	0,	1024,	1024,		997422406,	997428524,	858146941,	6118,	
6,	2,	2,	0,	2048,	343,		997422411,	997428525,	858147498,	6114,	
7,	0,	2,	0,	0,	1024,		997490650,	997493743,	858213629,	3093,	
7,	1,	2,	0,	1024,	1024,		997490655,	997506729,	858214956,	16074,	
7,	2,	2,	0,	2048,	1024,		997490659,	997506732,	858216556,	16073,	
7,	3,	2,	0,	3072,	1024,		997490662,	997508088,	858218159,	17426,	
7,	4,	2,	0,	4096,	1024,		997490664,	997508090,	858219436,	17426,	
7,	5,	2,	0,	5120,	1024,		997490667,	997508092,	858220807,	17425,	
7,	6,	2,	0,	6144,	1024,		997490669,	997508102,	858222791,	17433,	
7,	7,	2,	0,	7168,	1024,		997490672,	997508104,	858223675,	17432,	
7,	8,	2,	0,	8192,	1024,		997490675,	997508107,	858227006,	17432,	
7,	9,	2,	0,	9216,	1024,		997490677,	997509680,	858229359,	19003,	
7,	10,	2,	0,	10240,	1024,		997490680,	997510851,	858230941,	20171,	
7,	11,	2,	0,	11264,	390,		997490683,	997511619,	858231988,	20936,	
8,	0,	2,	0,	0,	1024,		997563192,	997567370,	858287276,	4178,	
8,	1,	2,	0,	1024,	1024,		997563204,	997572710,	858288562,	9506,	
8,	2,	2,	0,	2048,	1024,		997563208,	997572712,	858290152,	9504,	
8,	3,	2,	0,	3072,	1024,		997563212,	997572712,	858291434,	9500,	
8,	4,	2,	0,	4096,	614,		997563216,	997572716,	858292637,	9500,	
9,	0,	2,	0,	0,	1024,		997628043,	997631926,	858352294,	3883,	
9,	1,	2,	0,	1024,	1024,		997628055,	997634849,	858353061,	6794,	
9,	2,	2,	0,	2048,	1024,		997628059,	997635301,	858354720,	7242,	
9,	3,	2,	0,	3072,	979,		997628062,	997635690,	858355977,	7628,	
10,	0,	2,	0,	0,	1024,		997692209,	997700922,	858416514,	8713,	
10,	1,	2,	0,	1024,	1024,		997692223,	997705990,	858419993,	13767,	
10,	2,	2,	0,	2048,	1024,		997692227,	997705993,	858421097,	13766,	
10,	3,	2,	0,	3072,	1024,		997692233,	997706466,	858422269,	14233,	
10,	4,	2,	0,	4096,	1024,		997692240,	997706470,	858423729,	14230,	
10,	5,	2,	0,	5120,	1024,		997692245,	997706471,	858426509,	14226,	
10,	6,	2,	0,	6144,	676,		997692249,	997713780,	858427239,	21531,	
11,	0,	2,	0,	0,	1024,		997757368,	997760232,	858480253,	2864,	
11,	1,	2,	0,	1024,	1024,		997757383,	997764172,	858481544,	6789,	
11,	2,	2,	0,	2048,	1024,		997757387,	997764574,	858483016,	7187,	
11,	3,	2,	0,	3072,	533,		997757392,	997765271,	858485637,	7879,	
12,	0,	2,	0,	0,	1024,		997828153,	997830937,	858551099,	2784,	
12,	1,	2,	0,	1024,	1024,		997828170,	997834040,	858552313,	5870,	
12,	2,	2,	0,	2048,	1024,		997828176,	997834403,	858553619,	6227,	
12,	3,	2,	0,	3072,	632,		997828182,	997834405,	858554688,	6223,	
13,	0,	2,	0,	0,	1024,		997889000,	997892305,	858612151,	3305,	
13,	1,	2,	0,	1024,	1024,		997889010,	997893593,	858612649,	4583,	
13,	2,	2,	0,	2048,	1024,		997889013,	997895481,	858613684,	6468,	
13,	3,	2,	0,	3072,	1024,		997889016,	997895906,	858615049,	6890,	
13,	4,	2,	0,	4096,	1024,		997889019,	997896286,	858616533,	7267,	
13,	5,	2,	0,	5120,	339,		997889022,	997896287,	858616551,	7265,	
14,	0,	2,	0,	0,	1024,		997955128,	997961929,	858677673,	6801,	
14,	1,	2,	0,	1024,	1024,		997955138,	997965671,	858682362,	10533,	
14,	2,	2,	0,	2048,	671,		997955141,	997970489,	858682930,	15348,	
15,	0,	2,	0,	0,	1024,		998022437,	998027075,	858745342,	4638,	
15,	1,	2,	0,	1024,	1024,		998022448,	998027079,	858745363,	4631,	
15,	2,	2,	0,	2048,	380,		998022451,	998029161,	858746132,	6710,	
16,	0,	2,	0,	0,	1024,		998089595,	998096211,	858812120,	6616,	
16,	1,	2,	0,	1024,	1024,		998089610,	998096717,	858815312,	7107,	
16,	2,	2,	0,	2048,	1024,		998089614,	998096721,	858816533,	7107,	
16,	3,	2,	0,	3072,	1024,		998089617,	998096722,	858816544,	7105,	
16,	4,	2,	0,	4096,	554,		998089620,	998097112,	858817384,	7492,	
17,	0,	2,	0,	0,	1024,		998156289,	998162693,	858882842,	6404,	
17,	1,	2,	0,	1024,	1024,		998156303,	998163895,	858883359,	7592,	
17,	2,	2,	0,	2048,	1024,		998156307,	998164714,	858884163,	8407,	
17,	3,	2,	0,	3072,	1024,		998156311,	998165035,	858884985,	8724,	
17,	4,	2,	0,	4096,	431,		998156314,	998165428,	858885893,	9114,	
18,	0,	2,	0,	0,	1024,		998224625,	998226960,	858947014,	2335,	
18,	1,	2,	0,	1024,	1024,		998224638,	998227373,	858947667,	2735,	
18,	2,	2,	0,	2048,	1024,		998224643,	998228508,	858948510,	3865,	
18,	3,	2,	0,	3072,	1024,		998224647,	998229450,	858949514,	4803,	
18,	4,	2,	0,	4096,	266,		998224651,	998229453,	858949525,	4802,	
19,	0,	2,	0,	0,	1024,		998291171,	998327180,	859047521,	36009,	
19,	1,	2,	0,	1024,	1024,		998291184,	998327186,	859047543,	36002,	
19,	2,	2,	0,	2048,	1024,		998291189,	998328606,	859048980,	37417,	
19,	3,	2,	0,	3072,	1024,		998291194,	998328610,	859048998,	37416,	
19,	4,	2,	0,	4096,	891,		998291206,	998329396,	859049768,	38190,	
20,	0,	2,	0,	0,	1024,		998356776,	998358688,	859079035,	1912,	
20,	1,	2,	0,	1024,	1024,		998356786,	998359365,	859079740,	2579,	
20,	2,	2,	0,	2048,	361,		998356789,	998359368,	859079764,	2579,	
21,	0,	2,	0,	0,	1024,		998424209,	998432545,	859152761,	8336,	
