0,	3740,	2,	6,	997016165,	997016165,	997144218,	997162404,	997162404,	997162456,		857987792,	857987792,	857987826,	857987841,		
1,	4761,	2,	5,	997082831,	997162475,	997177024,	997182660,	997182660,	997182706,		858020457,	858020457,	858027697,	858027713,		
2,	1997,	2,	2,	997149497,	997182721,	997210186,	997217325,	997217326,	997217381,		858053796,	858053796,	858057025,	858057071,		
3,	1184,	2,	2,	997216163,	997217406,	997243607,	997250041,	997250041,	997250095,		858086463,	858086463,	858089609,	858089620,		
4,	8772,	2,	9,	997282829,	997283376,	997285162,	997292654,	997292654,	997292717,		858128761,	858128762,	858131061,	858131071,		
5,	3466,	2,	4,	997349495,	997349638,	997353594,	997362802,	997362802,	997362861,		858196497,	858196497,	858199739,	858199749,		
6,	2391,	2,	3,	997416161,	997416240,	997418075,	997422357,	997422358,	997422411,		858260880,	858260880,	858263554,	858263566,		
7,	11654,	2,	12,	997482827,	997483305,	997485184,	997490623,	997490623,	997490684,		858328766,	858328766,	858331173,	858331183,		
8,	4710,	2,	5,	997549493,	997550012,	997553061,	997563158,	997563158,	997563216,		858396536,	858396536,	858399996,	858400033,		
9,	4051,	2,	4,	997616159,	997616216,	997619268,	997627967,	997627967,	997628063,		858462149,	858462149,	858464975,	858464986,		
10,	6820,	2,	7,	997682825,	997683639,	997685191,	997692174,	997692174,	997692249,		858527989,	858527989,	858530675,	858530685,		
11,	3605,	2,	4,	997749491,	997750080,	997752055,	997757330,	997757330,	997757392,		858595059,	858595059,	858598626,	858598639,		
12,	3704,	2,	4,	997816157,	997817168,	997818727,	997828118,	997828118,	997828182,		858661811,	858661811,	858664493,	858664504,		
13,	5459,	2,	6,	997882823,	997883034,	997884483,	997888982,	997888982,	997889022,		858727791,	858727791,	858730589,	858730599,		
14,	2719,	2,	3,	997949489,	997949707,	997951148,	997955082,	997955082,	997955141,		858793978,	858793978,	858796921,	858796932,		
15,	2428,	2,	3,	998016155,	998016654,	998018035,	998022405,	998022405,	998022451,		858861118,	858861118,	858863713,	858863724,		
16,	4650,	2,	5,	998082821,	998083014,	998084491,	998089564,	998089564,	998089621,		858928191,	858928191,	858931070,	858931116,		
17,	4527,	2,	5,	998149487,	998150195,	998151841,	998156254,	998156254,	998156315,		858995311,	858995311,	858998268,	858998280,		
18,	4362,	2,	5,	998216153,	998216234,	998218675,	998224589,	998224589,	998224651,		859061718,	859061718,	859064494,	859064504,		
19,	4987,	2,	5,	998282819,	998283187,	998285323,	998291133,	998291134,	998291206,		859127976,	859127976,	859130925,	859130936,		
20,	2409,	2,	3,	998349485,	998349599,	998351855,	998356742,	998356742,	998356789,		859195180,	859195180,	859198093,	859198103,		
21,	3811,	2,	4,	998416151,	998416623,	998418476,	998424174,	998424174,	998424232,		859261466,	859261466,	859264073,	859264083,		
22,	4722,	2,	5,	998482817,	998482927,	998485233,	998489675,	998489675,	998489742,		859328472,	859328472,	859331048,	859331059,		
23,	4301,	2,	5,	998549483,	998549729,	998552267,	998557789,	998557789,	998557863,		859395506,	859395506,	859398244,	859398254,		
24,	4592,	2,	5,	998616149,	998616784,	998618589,	998622740,	998622740,	998622822,		859461699,	859461699,	859464908,	859464938,		
25,	4486,	2,	5,	998682815,	998683178,	998685200,	998689372,	998689373,	998689513,		859528201,	859528201,	859530764,	859530775,		
26,	5339,	2,	6,	998749481,	998750523,	998751833,	998756152,	998756152,	998756218,		859595243,	859595243,	859597764,	859597776,		
27,	4654,	2,	5,	998816147,	998816685,	998818400,	998821648,	998821648,	998821698,		859661242,	859661243,	859663911,	859663922,		
28,	4222,	2,	5,	998882813,	998882830,	998884156,	998888171,	998888171,	998888234,		859727211,	859727211,	859729874,	859729886,		
29,	4128,	2,	5,	998949479,	998950256,	998952446,	998956618,	998956618,	998956691,		859795478,	859795478,	859798610,	859798622,		
30,	3585,	2,	4,	999016145,	999021361,	999023726,	999030556,	999030556,	999030611,		859866529,	859866529,	859869227,	859869239,		
31,	2865,	2,	3,	999082811,	999083163,	999084637,	999088378,	999088379,	999088418,		859928030,	859928030,	859930863,	859930874,		
32,	4379,	2,	5,	999149477,	999150480,	999151989,	999157427,	999157427,	999157495,		859995473,	859995473,	859997910,	859997922,		
33,	4423,	2,	5,	999216143,	999216911,	999218396,	999221685,	999221685,	999221847,		860061148,	860061148,	860063702,	860063712,		
34,	4659,	2,	5,	999282809,	999283285,	999285871,	999291115,	999291115,	999291201,		860129181,	860129181,	860131804,	860131815,		
35,	4547,	2,	5,	999349475,	999349742,	999351029,	999354058,	999354058,	999354111,		860194113,	860194113,	860196745,	860196756,		
36,	4122,	2,	5,	999416141,	999416654,	999418043,	999421334,	999421334,	999421396,		860261190,	860261190,	860263714,	860263725,		
37,	4083,	2,	4,	999482807,	999483397,	999487738,	999493863,	999493863,	999493908,		860330487,	860330487,	860333101,	860333114,		
38,	4648,	2,	5,	999549473,	999550059,	999552500,	999558019,	999558019,	999558082,		860395295,	860395295,	860397786,	860397796,		
39,	3970,	2,	4,	999616139,	999617160,	999620681,	999628202,	999628202,	999628249,		860463400,	860463401,	860465952,	860465964,		
40,	4757,	2,	5,	999682805,	999682980,	999685569,	999693015,	999693016,	999693110,		860528316,	860528316,	860530830,	860530842,		
41,	5164,	2,	6,	999749471,	999750485,	999753072,	999761336,	999761336,	999761389,		860596248,	860596248,	860598818,	860598831,		
42,	4070,	2,	4,	999816137,	999816691,	999819070,	999824469,	999824469,	999824537,		860662294,	860662294,	860665437,	860665448,		
43,	4569,	2,	5,	999882803,	999883172,	999886384,	999893164,	999893164,	999893242,		860729930,	860729930,	860732396,	860732408,		
44,	3995,	2,	4,	999949469,	999949533,	999951965,	999959090,	999959090,	999959212,		860794649,	860794649,	860797109,	860797119,		
45,	4119,	2,	5,	1000016135,	1000017071,	1000019350,	1000025172,	1000025172,	1000025221,		860862726,	860862726,	860865140,	860865178,		
46,	4112,	2,	5,	1000082801,	1000083447,	1000085634,	1000092161,	1000092161,	1000092232,		860928302,	860928302,	860930698,	860930710,		
47,	2898,	2,	3,	1000149467,	1000149580,	1000153203,	1000157137,	1000157137,	1000157201,		860996269,	860996269,	860998719,	860998731,		
48,	4879,	2,	5,	1000216133,	1000216189,	1000220246,	1000225767,	1000225767,	1000225823,		861063137,	861063137,	861065465,	861065476,		
49,	4510,	2,	5,	1000282799,	1000283810,	1000285320,	1000289880,	1000289880,	1000289948,		861128733,	861128733,	861131390,	861131400,		
50,	4324,	2,	5,	1000349465,	1000349955,	1000351997,	1000356541,	1000356541,	1000356604,		861194718,	861194718,	861197915,	861197926,		
51,	4568,	2,	5,	1000416131,	1000416501,	1000420765,	1000428181,	1000428181,	1000428235,		861264410,	861264410,	861266887,	861266898,		
52,	6010,	2,	6,	1000482797,	1000482976,	1000484361,	1000487942,	1000487942,	1000488033,		861327951,	861327951,	861330488,	861330498,		
53,	3727,	2,	4,	1000549463,	1000549734,	1000551341,	1000554853,	1000554853,	1000554908,		861395071,	861395071,	861397548,	861397560,		
54,	2976,	2,	3,	1000616129,	1000616991,	1000618804,	1000622905,	1000622906,	1000622956,		861461835,	861461835,	861464242,	861464254,		
55,	2651,	2,	3,	1000682795,	1000683506,	1000685888,	1000690661,	1000690661,	1000690723,		861528632,	861528632,	861531439,	861531450,		
56,	5051,	2,	5,	1000749461,	1000749733,	1000751110,	1000753936,	1000753936,	1000753989,		861594676,	861594676,	861597022,	861597033,		
57,	5058,	2,	5,	1000816127,	1000817192,	1000820433,	1000828087,	1000828087,	1000828185,		861663695,	861663695,	861666215,	861666227,		
58,	4660,	2,	5,	1000882793,	1000882796,	1000885210,	1000890763,	1000890763,	1000890836,		861728488,	861728488,	861731456,	861731467,		
59,	5353,	2,	6,	1000949459,	1000949613,	1000953125,	1000962273,	1000962273,	1000962354,		861796182,	861796182,	861798832,	861798844,		
60,	4462,	2,	5,	1001016125,	1001016775,	1001019607,	1001027074,	1001027075,	1001027221,		861863099,	861863099,	861865802,	861865814,		
